Reg_no,English,Health,Maths,Nepali,Computer,GK
20790300,88,56,34,76,99,86
20790301,98,30,31,29,27,100
20790302,66,51,63,53,48,85
20790303,10,74,45,64,95,12
20790304,45,93,26,61,44,64
20790305,79,61,86,18,33,78
20790306,22,42,68,49,30,25
20790307,97,85,22,71,47,98
20790308,84,69,77,15,11,85
20790309,100,79,63,78,69,32
20790310,77,54,91,11,16,94
20790311,68,99,74,36,36,72
20790312,47,32,24,67,24,100
20790313,81,82,60,95,65,80
20790314,62,56,41,47,66,24
20790315,75,30,72,70,39,62
20790316,82,15,48,45,55,23
