Reg_no,English,Health,Maths,Nepali,Computer,Optional_maths,Science
20790600,61,93,23,50,60,48,20
20790601,91,15,20,17,22,67,31
20790602,21,50,74,64,33,10,95
20790603,11,38,55,25,12,45,71
20790604,51,10,82,21,50,45,71
20790605,62,61,65,55,43,100,46
20790606,64,64,46,26,71,73,72
20790607,36,13,22,67,25,41,53
20790608,100,81,16,36,67,74,90
20790609,95,100,84,89,33,71,10
20790610,55,89,87,15,42,21,64
20790611,17,77,84,75,13,96,76
20790612,72,79,36,94,14,46,12
20790613,31,100,27,28,28,18,46
20790614,35,52,20,53,16,28,41
