Reg_no,English,EHP,Maths,Nepali,Computer,Optional_maths,Science,Social_studies
20791000,93,93,26,59,19,64,95,70
20791001,41,50,97,14,14,73,73,36
20791002,93,57,26,92,21,12,26,25
20791003,46,21,64,88,79,35,54,14
20791004,57,92,61,73,35,26,73,87
20791005,29,72,61,79,84,38,71,37
20791006,92,90,58,98,71,71,36,30
20791007,27,57,29,11,19,52,72,89
20791008,47,80,34,91,33,62,52,84
20791009,52,44,10,15,50,70,35,34
20791010,26,59,45,42,63,80,21,36
20791011,64,66,48,42,43,10,99,40
20791012,82,40,38,40,98,29,43,83
20791013,64,30,32,70,14,92,76,40
20791014,51,83,36,25,73,88,23,12
